iter	Passed	Remaining
402	9997	14810
403	10022	14785
404	10042	14754
405	10068	14731
406	10089	14700
407	10113	14674
408	10134	14644
409	10157	14616
410	10180	14590
411	10204	14563
412	10224	14531
413	10251	14509
414	10277	14487
415	10302	14463
416	10324	14435
417	10346	14406
418	10369	14378
419	10391	14350
420	10414	14322
421	10437	14296
422	10461	14270
423	10483	14242
424	10506	14214
425	10527	14185
426	10552	14160
427	10572	14130
428	10596	14104
429	10618	14075
430	10638	14044
431	10660	14017
432	10685	13992
433	10709	13966
434	10732	13939
435	10763	13923
436	10798	13912
437	10825	13890
438	10850	13866
439	10871	13836
440	10894	13809
441	10918	13783
442	10939	13754
443	10961	13726
444	10989	13705
445	10997	13661
446	11020	13633
447	11041	13605
448	11066	13580
449	11089	13553
450	11110	13525
451	11133	13497
452	11158	13473
453	11181	13447
454	11199	13414
455	11223	13390
456	11250	13367
457	11275	13343
458	11298	13317
459	11323	13292
460	11349	13269
461	11373	13244
462	11399	13220
463	11423	13196
464	11447	13170
465	11467	13140
466	11492	13116
467	11514	13088
468	11536	13061
469	11562	13039
470	11585	13011
471	11611	12988
472	11633	12962
473	11657	12936
474	11682	12912
475	11708	12888
476	11732	12863
477	11754	12835
478	11776	12808
479	11803	12786
480	11825	12759
481	11851	12736
482	11881	12718
483	11893	12680
484	11926	12663
485	11952	12641
486	11974	12613
487	12003	12593
488	12030	12572
489	12058	12550
490	12097	12541
491	12123	12517
492	12151	12496
493	12181	12477
494	12209	12455
495	12235	12433
496	12259	12407
497	12289	12388
498	12315	12364
499	12342	12342
500	12365	12316
501	12392	12293
502	12423	12275
503	12455	12258
504	12486	12239
505	12520	12223
506	12545	12199
507	12606	12209
508	12631	12184
509	12689	12192
510	12712	12165
511	12726	12129
512	12751	12104
513	12772	12076
514	12795	12049
515	12817	12022
516	12838	11993
517	12860	11966
518	12884	11940
519	12909	11916
520	12931	11888
521	12962	11869
522	12995	11852
523	13016	11824
524	13042	11799
525	13059	11768
526	13081	11741
527	13103	11713
528	13128	11689
529	13140	11652
530	13164	11627
531	13187	11601
532	13212	11576
533	13236	11551
534	13254	11519
535	13273	11490
536	13298	11465
537	13321	11439
538	13346	11414
539	13369	11389
540	13391	11361
541	13418	11338
542	13442	11313
543	13467	11289
544	13492	11264
545	13515	11237
546	13538	11211
547	13560	11184
548	13587	11162
549	13605	11131
550	13629	11106
551	13651	11079
552	13674	11053
553	13693	11023
554	13714	10995
555	13735	10968
556	13759	10943
557	13784	10918
558	13807	10892
559	13832	10868
560	13853	10841
561	13881	10818
562	13908	10795
563	13928	10767
564	13947	10738
565	13966	10709
566	13990	10683
567	14015	10659
568	14042	10637
569	14062	10608
570	14090	10586
571	14112	10559
572	14136	10534
573	14158	10507
574	14179	10480
575	14198	10451
576	14218	10423
577	14243	10399
578	14268	10374
579	14289	10347
580	14313	10322
581	14333	10294
582	14355	10267
583	14375	10240
584	14402	10217
585	14426	10191
586	14446	10164
587	14471	10139
588	14499	10117
589	14529	10096
590	14553	10071
591	14579	10048
592	14607	10025
593	14638	10005
594	14665	9982
595	14697	9962
596	14723	9939
597	14753	9918
598	14779	9894
599	14808	9872
600	14836	9850
601	14862	9825
602	14891	9804
603	14914	9778
604	14941	9755
605	14959	9725
606	14986	9703
607	15017	9682
608	15045	9659
609	15071	9635
610	15094	9610
611	15119	9585
612	15143	9560
613	15172	9538
614	15199	9515
615	15223	9490
616	15244	9463
617	15269	9438
618	15278	9403
619	15289	9371
620	15308	9343
621	15340	9322
622	15364	9297
623	15389	9273
624	15419	9251
625	15443	9226
626	15467	9201
