iter	RMSE
141	0.5747643298
142	0.5738335899
143	0.5729606553
144	0.5720972582
145	0.5713813559
146	0.5707062777
147	0.5698777602
148	0.5689728591
149	0.5681422122
150	0.5673001503
151	0.5665040749
152	0.5657144394
153	0.5649592717
154	0.5642714032
155	0.5635381126
156	0.5629078408
157	0.5622725711
158	0.5615380067
159	0.5608428663
160	0.5601590474
161	0.5594341388
162	0.5588019791
163	0.5582532131
164	0.5576014504
165	0.5569443872
166	0.5563335022
167	0.5556671455
168	0.5550023261
169	0.5544019839
170	0.553856968
171	0.5532706316
172	0.5526745781
173	0.5520495391
174	0.5514679999
175	0.550989286
176	0.5504903367
177	0.5499896906
178	0.5495147893
179	0.5490351618
180	0.5484571783
181	0.5479741429
182	0.547551776
183	0.5469932523
184	0.5465572147
185	0.5461259675
186	0.5456236132
187	0.5451240463
188	0.544643904
189	0.5441965615
190	0.5438080022
191	0.5434720214
192	0.5431190194
193	0.5426986818
194	0.5422927611
195	0.5418222233
196	0.5413985039
197	0.5409852106
198	0.540590375
199	0.5401912512
200	0.5397720819
201	0.5394123338
202	0.5390438603
203	0.5386506848
204	0.5383145409
205	0.5379401743
206	0.5376315864
207	0.5372976921
208	0.5369665155
209	0.536656573
210	0.5363111521
211	0.536002814
212	0.5356349887
213	0.5353823594
214	0.5350548186
215	0.5348179118
216	0.5345338684
217	0.5342365912
218	0.5339552063
219	0.5336607922
220	0.5333836407
221	0.5330752908
222	0.5327774569
223	0.5324769343
224	0.5321765105
225	0.5319315055
226	0.5317135995
227	0.531453664
228	0.5311873291
229	0.5309297464
230	0.530684343
231	0.5304916843
232	0.5303082171
233	0.5300722134
234	0.5298650424
235	0.5296181752
236	0.5294287066
237	0.529239692
238	0.5290144276
239	0.5288268264
240	0.5286319532
241	0.5283900368
242	0.5281725359
243	0.5279725482
244	0.527778195
245	0.5275797151
246	0.5274093337
247	0.5272514267
248	0.5270704245
249	0.5268839568
250	0.5266911814
251	0.5264835856
252	0.5263305519
253	0.5261657438
254	0.5260155719
255	0.5258759379
256	0.5257026461
257	0.525546015
258	0.5253828819
259	0.5252376648
260	0.5250805205
261	0.52493308
262	0.5247739973
263	0.52459309
264	0.5244342454
265	0.5243059782
266	0.5242077156
267	0.5240955388
268	0.5239679448
269	0.52382389
270	0.5236710567
271	0.5235437258
272	0.5234755333
273	0.52333351
274	0.5231711729
275	0.5230624261
276	0.5229159155
277	0.5228112903
278	0.5226909977
279	0.5226073492
280	0.522486361
281	0.5223771719
282	0.5222382658
283	0.5221283815
284	0.5220378231
285	0.5219470011
286	0.5218390674
287	0.5217491638
288	0.5216129771
289	0.5215120902
290	0.5214081133
291	0.5213141268
292	0.5211751269
293	0.5210631865
294	0.5209729783
295	0.5208846649
296	0.5208052935
297	0.5207154525
298	0.5206460463
299	0.5205443104
300	0.5204887201
301	0.5204136672
302	0.5203046889
303	0.520223083
304	0.5201590338
305	0.5200486714
306	0.5199690665
307	0.5198902408
308	0.519786588
309	0.5196977366
310	0.5196389037
311	0.5195598159
312	0.5195018605
313	0.5194356797
314	0.5193504888
315	0.5193023473
316	0.5192673536
317	0.5192039767
318	0.5191436939
319	0.5191005242
320	0.5190306342
321	0.5189682529
322	0.518913382
323	0.5188485333
324	0.5187551939
325	0.5186615211
326	0.5185903256
327	0.5185387297
328	0.5184584677
329	0.5184110958
330	0.5183721822
331	0.5183130197
332	0.5182521767
333	0.5181967692
334	0.5181460303
335	0.5181007006
336	0.518008254
337	0.5179578548
338	0.5178999183
339	0.5178616228
340	0.5177944258
341	0.5177377412
342	0.5176831113
343	0.517645838
344	0.5175953669
345	0.5175403836
346	0.517472252
347	0.5174053665
348	0.5173675632
349	0.517306532
350	0.517257042
351	0.5171740973
352	0.5171280576
353	0.5170745936
354	0.5170189378
355	0.5169751102
356	0.5169368592
357	0.5168968803
358	0.5168345696
359	0.5167927169
360	0.5167395812
361	0.5166924865
362	0.5166476335
363	0.5165941477
364	0.5165363475
365	0.5164945504
366	0.5164601613
367	0.5164078446
368	0.5163465872
369	0.5163134228
370	0.5162669132
371	0.5162221145
372	0.5161788775
373	0.5161367442
374	0.5160826941
375	0.5160467297
376	0.515999021
377	0.5159392182
378	0.5159011469
379	0.5158703906
380	0.5158355007
381	0.5158044147
382	0.5157637577
383	0.5157073746
384	0.5156560063
385	0.5156314789
386	0.5155937302
387	0.5155397149
388	0.515490621
389	0.5154502758
390	0.5154088892
391	0.5153618507
392	0.5153421351
393	0.5153234412
394	0.515279146
395	0.5152338018
396	0.5152067595
397	0.5151758172
398	0.5151312101
399	0.515102093
400	0.5150589063
401	0.5150137485
402	0.5149824957
403	0.5149537434
404	0.5149017456
405	0.5148644632
406	0.5148258839
407	0.5147958567
408	0.5147706103
409	0.5147485051
410	0.5147111034
411	0.5146692399
412	0.5146535499
413	0.5146392503
414	0.5146020528
415	0.514536994
416	0.5145148107
417	0.514480914
418	0.5144553743
419	0.5144135448
420	0.5143797942
421	0.5143432232
422	0.5142862091
423	0.5142607271
424	0.5142238185
425	0.5142059293
426	0.514177094
427	0.5141375304
428	0.5141080121
429	0.5140735782
430	0.5140519012
431	0.5140362143
432	0.5140108871
433	0.513969146
434	0.5139504329
435	0.513919462
436	0.5139027812
437	0.5138791441
438	0.5138384059
439	0.51381538
440	0.5137835736
441	0.5137468735
442	0.5137163288
443	0.5136921045
444	0.5136759157
445	0.5136624136
446	0.5136345451
447	0.5136037186
448	0.5135786263
449	0.5135548994
450	0.5135177646
451	0.5134812137
452	0.5134350521
453	0.5134107713
454	0.5133910158
455	0.5133602641
456	0.5133367288
457	0.513316139
458	0.5132779962
459	0.5132590757
460	0.5132280511
461	0.5131944614
462	0.5131570874
463	0.5131220541
464	0.5131028991
465	0.5130912448
466	0.513068472
467	0.5130412626
468	0.5129933744
469	0.512948688
470	0.5128985941
471	0.5128577337
472	0.5128373395
473	0.5128129326
474	0.5127967647
475	0.5127439177
476	0.5127262072
477	0.5127124875
478	0.5126867171
479	0.5126673765
480	0.5126590799
481	0.5126353429
482	0.5126040609
483	0.5125996054
484	0.5125670056
485	0.5125381991
486	0.512505365
487	0.5124878209
488	0.5124487082
489	0.5124184041
490	0.5124014102
491	0.5123589018
492	0.5123348175
493	0.5123114034
494	0.5122757369
495	0.5122334581
496	0.512198954
497	0.5121763192
498	0.5121363007
499	0.5120965896
500	0.5120756514
501	0.5120690744
502	0.5120439502
503	0.5120233299
504	0.5119797103
505	0.5119556095
506	0.5119254584
507	0.5119018382
508	0.5118781727
509	0.5118302007
510	0.5117828007
511	0.511774895
512	0.5117630211
513	0.5117441029
514	0.5117137695
515	0.511673054
516	0.5116504523
517	0.5116209851
518	0.5115935213
519	0.5115755945
520	0.5115485804
521	0.5115328132
522	0.5114972143
523	0.5114860035
524	0.5114598451
525	0.5114450246
526	0.5114312177
527	0.5113970871
528	0.5113708544
529	0.5113627134
530	0.5113432697
531	0.5113155629
532	0.5112853241
533	0.5112604541
534	0.5112405987
535	0.5112230996
536	0.5111922235
537	0.5111697057
538	0.5111490865
539	0.5111048401
540	0.5110796055
541	0.5110618226
542	0.5110441158
543	0.5110218207
544	0.5109973787
545	0.5109743141
546	0.5109354106
547	0.5108948546
548	0.5108562651
549	0.5108519068
550	0.510827116
551	0.5108156639
552	0.5108073611
553	0.5107898481
554	0.5107761649
555	0.5107544347
556	0.5107311149
557	0.5107140495
558	0.510691336
559	0.5106634973
560	0.5106494683
561	0.5106245395
562	0.5105997438
563	0.5105786536
564	0.5105529944
565	0.5105257143
566	0.5105013298
567	0.5104881622
568	0.5104630446
569	0.5104414273
570	0.5104280311
571	0.5104009578
572	0.5103795172
573	0.5103603645
574	0.5103585922
575	0.5103400708
576	0.5103170847
577	0.5103021833
578	0.5102836408
579	0.5102686496
580	0.5102295775
581	0.5102163678
582	0.5102006936
583	0.5101753016
584	0.5101591784
585	0.5101453373
586	0.5101343768
587	0.5101026002
588	0.5100850197
589	0.5100568712
590	0.5100431752
591	0.510025378
592	0.510008405
593	0.5099819023
594	0.5099552085
595	0.5099445965
596	0.5099281148
597	0.5099198264
598	0.509905691
599	0.5098948636
600	0.5098919951
601	0.50986528
602	0.5098484351
603	0.5098389972
604	0.5098237981
605	0.5097967055
606	0.5097783568
607	0.5097417096
608	0.5097273898
609	0.5097119692
610	0.5096969721
611	0.5096703178
612	0.5096596423
613	0.5096432098
614	0.5096162226
615	0.509589907
616	0.5095696615
617	0.5095325153
618	0.5095274928
619	0.5095246265
620	0.5095123177
621	0.5095058114
622	0.5094770862
623	0.5094514775
624	0.5094383877
625	0.5094020752
626	0.5093911544
